x,y
2535,988
2066,1174
2142,1447
2566,976
2201,882
1882,1188
2141,1160
1858,926
2336,1171
2249,992
1774,1178
2424,993
1771,1096
2311,1258
2171,919
2225,1456
2280,1190
2054,1550
1962,1034
2329,1449
2241,870
2464,1002
2018,878
2390,1352
2384,1299
2015,1012
2321,1116
1916,922
2177,1443
2189,1111
1872,1233
2116,715
2115,858
2204,1215
2325,762
1983,1239
2394,1195
1952,876
2504,1022
2171,1193
2034,1473
2072,1083
2046,1203
1816,1592
1921,1049
2089,1428
1947,1637
2355,1090
2283,881
1841,1009
2115,1111
1838,1247
1664,1456
2388,1121
2348,1379
2087,1328
1759,1419
1980,871
1663,1420
2131,933
2455,1262
1648,1539
2017,1398
2287,1331
1807,1156
1778,1575
2379,1001
1785,1299
2356,931
1786,1366
1846,1421
1872,1587
1986,947
1847,891
1697,1389
2221,1237
2053,1415
2035,1312
1750,1263
2430,1315
2222,1130
2083,936
1764,1233
2114,1252
1951,939
1845,1332
1969,1186
1720,1313
2263,1087
1701,1600
2307,1406
1966,1579
2374,843
2134,1533
2024,1239
1703,1354
1819,1503
1929,1305
2055,867
1991,1481
2122,1014
2161,1286
2331,869
2432,1076
2004,1038
1747,1483
1641,1481
2121,1340
2247,1441
1936,1414
2188,1011
1993,1545
1921,1374
1822,1120
2302,1015
1927,1176
2143,1082
1957,1481
2094,1548
1990,1127
2034,980
1872,1060
1866,1032
2281,941
1796,1052
1915,1569
2019,1095
1923,1481
1998,1361
2397,1050
2059,971
2073,1269
2212,1330
2154,1371
1729,1547
2223,1024
2124,887
2200,1367
2433,1138
1937,1132
2233,1282
2177,1370
2128,974
2427,1098
1891,1576
2294,1361
2214,1277
2305,937
1909,1184
2068,1296
1863,1490
2200,1011
1752,1524
2312,1370
