x,y
2875,1647
3734,1536
2417,1712
1895,1488
1244,1638
3114,1701
2511,1839
3564,1526
1622,1488
1630,1650
2826,1659
2727,1632
1670,1486
2340,1696
1776,1434
2002,1486
1942,1469
1823,1441
3633,1541
2222,1672
2096,1662
2558,1754
2270,1656
2500,2045
2624,2026
2421,1578
3367,1517
2353,2110
3786,1533
2603,1732
2090,1272
2373,1705
2759,1563
2669,1918
2454,2075
2588,1630
1110,1178
2319,2077
3264,1517
2781,1651
3172,1558
3094,1509
2522,1715
1889,1686
1842,1700
1921,1686
1497,1413
2188,1657
1709,1487
1548,1673
3129,1508
2877,1506
2928,1501
3182,1647
3137,1575
2821,1441
2481,1595
3839,1529
3007,1508
2062,1453
1784,1704
1350,1056
1716,1682
3143,1667
1333,1233
1472,1625
1533,1626
3882,1565
2825,1520
3689,1528
2560,1705
2219,1460
1738,1655
1332,1593
2659,1480
1552,1457
2727,1552
1834,1282
3605,1503
3213,1502
1211,1183
2567,1237
2773,1718
2496,1317
2597,1476
2253,1472
2659,1703
2125,1466
2174,1690
2657,2072
3066,1492
2391,2115
3567,1658
2405,1486
1590,1454
2953,1575
2456,2014
1419,1472
2445,1675
2338,2044
2511,2087
2538,1946
2102,1473
2728,1497
2527,1993
2501,1480
1438,1600
3771,1564
2630,1478
2690,1645
1562,1408
1002,1142
3933,1507
2541,1835
2581,2094
3321,1517
2663,1585
3177,1536
2702,1479
2165,1426
2362,1480
2531,1477
2449,1462
3190,1526
2541,2142
2608,1659
3304,1501
3855,1560
2300,1475
2553,2034
1762,1676
2171,1476
2438,1464
2797,1577
2670,1485
2647,1481
2624,1286
2544,1506
2569,1454
2637,1714
2578,1462
2139,1441
2408,1506
2605,1482
2587,1474
2358,2008
1822,1696
2283,1480
2473,1463
2308,1458
2550,1454
2416,2112
2224,2023
1726,1664
2517,1485
2539,1489
2712,1490
3212,1703
3589,1511
2426,2108
2349,1483
2332,1443
1477,1664
3112,1503
2479,1961
2434,2141
2227,1473
2598,1643
3289,1510
2513,1986
3347,1515
2533,1981
2873,1482
2513,2062
2771,1565
3804,1528
