x,y
3018,1930
1859,2290
1536,1570
2059,1800
1487,1688
1758,1676
2648,1941
1620,1842
3121,1772
1526,2025
1902,1916
2700,1329
2395,1782
3214,1935
1600,2033
1436,1756
2684,1804
2693,2378
1661,2258
2379,1438
1316,1901
1926,1842
1202,1700
2537,2326
3277,1902
2399,2224
1658,1906
2161,2315
1962,1953
1737,1601
1167,2276
2739,1978
2786,2348
2600,2044
2483,1850
1337,2297
2357,2275
2257,2211
2897,1872
2544,1929
2394,2115
1970,1523
3094,1835
1146,1973
1354,2003
1958,1173
2316,2305
2002,1576
2495,1935
2430,1939
2662,1287
3209,1787
1474,1469
1559,1876
2249,1336
1989,2258
2730,1867
2942,1841
2908,1731
1610,1625
2215,1422
1864,1645
2786,1366
1993,1864
1693,1804
1472,2245
2220,1265
1414,2289
1757,1891
2476,1443
1709,1431
2093,1863
2300,1906
2057,1965
2613,1819
2296,2176
3029,1790
2107,1958
1835,1875
1913,1709
1840,1562
2174,2768
2030,1388
1947,2299
1392,1257
1834,1367
1916,1435
2298,2005
1591,2302
2983,1868
2329,1795
1622,1975
1457,2011
2779,1806
2554,1787
2254,1545
1833,1456
2238,1912
2054,1055
3169,1895
1225,1970
2685,1895
2091,1513
2642,2291
1160,1814
3371,1897
2369,1893
2463,2321
2057,1409
1535,1472
1034,2290
3342,1823
1462,1873
2333,1305
1586,1362
1682,2638
1190,1549
2542,1314
1533,2266
1897,1082
2150,2057
2455,1390
2490,2199
2293,1318
2599,1315
1769,2217
2570,2202
1914,1338
1384,1404
1979,1403
2131,1429
1380,1930
1708,1970
2184,1823
2038,1912
1814,1682
1631,1582
3149,1864
1648,1517
2616,1507
1682,1172
1753,1529
2839,1857
1510,1224
2274,1435
1784,1411
2842,1758
2225,1505
1573,1260
2429,1809
1963,1238
1672,1400
2347,1416
1495,1642
2175,1923
1719,1309
1559,1602
2327,1224
2100,1197
2172,1295
2130,1180
2315,1396
2584,1913
2268,1206
1655,1474
2154,1407
1655,1284
1469,1216
1906,1204
2407,1292
2058,1300
2432,1223
2160,2268
2474,1783
1663,1220
2788,1874
2412,1332
1757,1284
1877,1456
1772,1207
1606,1158
1999,1727
1770,1154
1835,1315
2178,1209
2038,1200
1865,1294
2010,1755
2467,1272
2409,1803
2161,2215
2196,1185
1843,1255
1975,1733
2432,1274
2804,1964
1624,2009
